month,date,race_name,url,distance_elevation_raw,distance_km,elevation_m,price,town,province,status
MARÇ,01/03/2026,La Bufavents Trail,https://www.instagram.com/labufavents.trail/,21km D+1200m,21,1200,,El Perelló,TARRAGONA,Active
MARÇ,01/03/2026,La Bufavents Trail,https://www.instagram.com/labufavents.trail/,16km D+700m,16,700,,El Perelló,TARRAGONA,Active
MARÇ,01/03/2026,La Maasaiada,https://www.lamaasaiada.cat/,35km D+2000m,35,2000,,Campins,BARCELONA,Active
MARÇ,01/03/2026,La Maasaiada,https://www.lamaasaiada.cat/,24km D+1370m,24,1370,,Campins,BARCELONA,Active
MARÇ,01/03/2026,La Maasaiada,https://www.lamaasaiada.cat/,14km D+780m,14,780,,Campins,BARCELONA,Active
MARÇ,01/03/2026,Saltamarrades,http://www.saltamarrades.cat/,21km D+900m,21,900,18€,Santa Maria d'Oló,BARCELONA,Active
MARÇ,01/03/2026,Saltamarrades,http://www.saltamarrades.cat/,11km D+450m,11,450,16€,Santa Maria d'Oló,BARCELONA,Active
MARÇ,01/03/2026,Saltamarrades,http://www.saltamarrades.cat/,6km D+250m,6,250,12€,Santa Maria d'Oló,BARCELONA,Active
MARÇ,01/03/2026,Cursa L'Orelleta,https://cursaorelleta.wixsite.com/cursaorelleta/,10km D+37m,10,37,,Castellnou de Seana,LLEIDA,Active
MARÇ,01/03/2026,Cursa L'Orelleta,https://cursaorelleta.wixsite.com/cursaorelleta/,5km D+8m,5,8,,Castellnou de Seana,LLEIDA,Active
MARÇ,01/03/2026,Trail del Senglar LLAVANERES,https://traildelsenglar.com/llavaneres/,21km D+1200m,21,1200,,Llavaneres,BARCELONA,Active
MARÇ,01/03/2026,Trail del Senglar LLAVANERES,https://traildelsenglar.com/llavaneres/,15km D+700m,15,700,,Llavaneres,BARCELONA,Active
MARÇ,01/03/2026,Trail del Senglar LLAVANERES,https://traildelsenglar.com/llavaneres/,10km D+600m,10,600,,Llavaneres,BARCELONA,Active
MARÇ,01/03/2026,Cursa de Muntanya de Regencós,https://curses.cat/cursaregencos2026/,13km D+450m,13,450,,Regencós,GIRONA,Active
MARÇ,07/03/2026,Cursa Les Vetes,http://www.lesvetes.cat/ca/fundacio-les-vetes/projeccio-social/xii-cursa-popular-les-vetes,10km D+64m,10,64,,Salt,GIRONA,Active
MARÇ,07/03/2026,Cursa Les Vetes,http://www.lesvetes.cat/ca/fundacio-les-vetes/projeccio-social/xii-cursa-popular-les-vetes,"5,6km D+25m",5.6,25,,Salt,GIRONA,Active
MARÇ,08/03/2026,Sant Isidret,https://www.instagram.com/santisidret/,22km D+800m,22,800,,Olost,BARCELONA,Active
MARÇ,08/03/2026,Sant Isidret,https://www.instagram.com/santisidret/,13km D+350m,13,350,,Olost,BARCELONA,Active
MARÇ,08/03/2026,Trail Embruixada,https://embruixada.com/,21km,21,,,Llers,GIRONA,Active
MARÇ,08/03/2026,Trail Embruixada,https://embruixada.com/,12km,12,,,Llers,GIRONA,Active
MARÇ,08/03/2026,Trail L'Arboç,https://www.athleticevents.net/cursa/trail-l-arboc-2026-519/,20km D+384m,20,384,,L'Arboç,TARRAGONA,Active
MARÇ,08/03/2026,Trail L'Arboç,https://www.athleticevents.net/cursa/trail-l-arboc-2026-519/,12km D+205m,12,205,,L'Arboç,TARRAGONA,Active
MARÇ,14/03/2026,Cursa 4 Termes,https://www.cursa4termes.com/,54km D+2950m,54,2950,,Mont-roig del Camp,TARRAGONA,Active
MARÇ,14/03/2026,Cursa 4 Termes,https://www.cursa4termes.com/,27km D+1350m,27,1350,,Mont-roig del Camp,TARRAGONA,Active
MARÇ,15/03/2026,Cursa 4 Termes CADET,https://www.cursa4termes.com/,14km D+450m,14,450,,Mont-roig del Camp,TARRAGONA,Active
MARÇ,15/03/2026,Cursa 4 Termes CADET,https://www.cursa4termes.com/,"10,5km D+360m",10.5,360,,Mont-roig del Camp,TARRAGONA,Active
MARÇ,15/03/2026,Petita JAB Berga,https://www.jaberga.com/petita,Vàries (sub20 a Mini),,,5€,L'Espunyola,TARRAGONA,Active
MARÇ,15/03/2026,Cursa Vinyes del Penedès,https://cursavinyesdelpenedes.com/,5km D+33m,5,33,,Vilafranca del Penedès,BARCELONA,Active
MARÇ,15/03/2026,Pujada als Àngels,https://www.rockthesport.com/ca/esdeveniment/62a-pujada-als-angels,"9,1km D+485m",9.1,485,,Girona,GIRONA,Active
MARÇ,15/03/2026,Cursa Serra de Godall,https://crono.cat/cursa-serra-godall/,14km D+540m,14,540,,Godall,TARRAGONA,Active
MARÇ,15/03/2026,Cursa Serra de Godall,https://crono.cat/cursa-serra-godall/,5km D+200m,5,200,,Godall,TARRAGONA,Active
MARÇ,15/03/2026,Cursa dels Sucre,https://lacursadelsucre.web.app/,10km,10,,,Menàrguens,LLEIDA,Active
MARÇ,15/03/2026,Cursa dels Sucre,https://lacursadelsucre.web.app/,5km,5,,,Menàrguens,LLEIDA,Active
MARÇ,21-22/03/2026,Pugo Regis Trail,https://pugoregistrail.cat,24km D+1000m,24,1000,,Puig-reig,BARCELONA,Active
MARÇ,21-22/03/2026,Pugo Regis Trail CADET,https://pugoregistrail.cat,"7,75km D+236m",7.75,236,,Puig-reig,BARCELONA,Active
MARÇ,21-22/03/2026,Pugo Regis Trail,https://pugoregistrail.cat,14km D+575m,14,575,,Puig-reig,BARCELONA,Active
MARÇ,21/03/2026,Trail Cap de Creus,https://www.klassmark.com/trail-costa-brava/,"79,5km D+2190m",79.5,2190,,Palamós,GIRONA,Active
MARÇ,21/03/2026,Trail Cap de Creus,https://www.klassmark.com/trail-costa-brava/,41km D+2000m,41,2000,,Palamós,GIRONA,Active
MARÇ,21/03/2026,Trail Cap de Creus,https://www.klassmark.com/trail-costa-brava/,21km D+600m,21,600,,Palamós,GIRONA,Active
MARÇ,21/03/2026,Trail Cap de Creus,https://www.klassmark.com/trail-costa-brava/,"12,5km D+400m",12.5,400,,Palamós,GIRONA,Active
MARÇ,22/03/2026,Cursa del Roc Gros,https://www.cursadelrocgros.com/,21km D+1000m,21,1000,,Hostalets de Balenyà,BARCELONA,Active
MARÇ,22/03/2026,Cursa del Roc Gros,https://www.cursadelrocgros.com/,12km D+450m,12,450,,Hostalets de Balenyà,BARCELONA,Active
MARÇ,22/03/2026,Cursa Sol Blau,https://www.cetorrellenc.cat/1/INICI/,"18,5km",18.5,,,Torrelles de Llobregat,BARCELONA,Active
