race_hash,month,date,date_display,race_name,race_url,distance_km,elevation_m,distance_elevation_raw,price,town,province,status,scraped_at
9408d3b7b3de,Abril 2026,2026-04-04,04/04/2026,Volta a Peramola,http://voltaperamola.cat/,25,1600,25km D+1600m,,Peramola,LLEIDA,ACTIVA,2026-04-02T20:57:50.394486+00:00
41b398f3909b,Abril 2026,2026-04-04,04/04/2026,Volta a Peramola,http://voltaperamola.cat/,10,610,10km D+610m,,Peramola,LLEIDA,ACTIVA,2026-04-02T20:57:50.394547+00:00
2ecf85c6c88c,Abril 2026,2026-04-04,04/04/2026,Volta a Peramola,http://voltaperamola.cat/,5,260,5km D+260m,,Peramola,LLEIDA,ACTIVA,2026-04-02T20:57:50.394573+00:00
4c78596bb4e5,Abril 2026,2026-04-04,04/04/2026,Cursa de l'Airosa,https://www.cursadelairosa.cat/,21,1395,21km D+1395m,,Mas de Barberans,TARRAGONA,ACTIVA,2026-04-02T20:57:50.394593+00:00
f11d06cccb61,Abril 2026,2026-04-04,04/04/2026,Cursa de l'Airosa,https://www.cursadelairosa.cat/,14.5,800,"14,5km D+800m",,Mas de Barberans,TARRAGONA,ACTIVA,2026-04-02T20:57:50.394613+00:00
3209b6ad58e0,Abril 2026,2026-04-04,04/04/2026,Cursa de l'Airosa,https://www.cursadelairosa.cat/,9.5,460,"9,5km D+460m",,Mas de Barberans,TARRAGONA,ACTIVA,2026-04-02T20:57:50.394635+00:00
4101ac915422,Abril 2026,2026-04-11,11-12/04/2026,Trail Montgrí,https://www.trailmontgri.com/,35,600,35km D+600m,,Torroella de Montgrí,GIRONA,ACTIVA,2026-04-02T20:57:50.394655+00:00
0acaf19e6761,Abril 2026,2026-04-11,11-12/04/2026,Trail Montgrí,https://www.trailmontgri.com/,22,750,22km D+750m,,Torroella de Montgrí,GIRONA,ACTIVA,2026-04-02T20:57:50.394677+00:00
17f905c223aa,Abril 2026,2026-04-11,11-12/04/2026,Trail Montgrí,https://www.trailmontgri.com/,13,450,13km D+450m,,Torroella de Montgrí,GIRONA,ACTIVA,2026-04-02T20:57:50.394696+00:00
68cd136e16ba,Abril 2026,2026-04-11,11/04/2026,Ultra Montseny,https://www.ultramontseny.com/,70,4110,70km D+4110m,,Viladrau,BARCELONA,ACTIVA,2026-04-02T20:57:50.394716+00:00
26731ca8f5f1,Abril 2026,2026-04-11,11/04/2026,Ultra Montseny,https://www.ultramontseny.com/,34,2407,34km D+2407m,,Montseny,BARCELONA,ACTIVA,2026-04-02T20:57:50.394736+00:00
cd42f04172fa,Abril 2026,2026-04-11,11/04/2026,Montsec Ultra Trail,https://montsecultratrail.com/,100,6600,100km D+6600m,,Àger,LLEIDA,ACTIVA,2026-04-02T20:57:50.394756+00:00
49d2db769bbd,Abril 2026,2026-04-11,11/04/2026,Montsec Ultra Trail,https://montsecultratrail.com/,45,2850,45km D+2850m,,Àger,LLEIDA,ACTIVA,2026-04-02T20:57:50.394776+00:00
fc705430d1e8,Abril 2026,2026-04-11,11/04/2026,Montsec Ultra Trail,https://montsecultratrail.com/,22,1400,22km D+1400m,,Àger,LLEIDA,ACTIVA,2026-04-02T20:57:50.394795+00:00
94a349bd1f19,Abril 2026,2026-04-11,11/04/2026,Trail del Cèrvol,https://www.instagram.com/traildelcervol/,24.6,870,"24,6km D+870m",,Sant Sadurní d'Anoia,BARCELONA,ACTIVA,2026-04-02T20:57:50.394817+00:00
8ed143f69633,Abril 2026,2026-04-11,11/04/2026,Trail del Cèrvol,https://www.instagram.com/traildelcervol/,13,330,13km D+330m,,Sant Sadurní d'Anoia,BARCELONA,ACTIVA,2026-04-02T20:57:50.394839+00:00
977f5682ad35,Abril 2026,2026-04-12,12/04/2026,Xtrail Series Òrrius,https://www.xtrailseriesrun.com/,22,832,22km D+832m,,Òrrius,BARCELONA,ACTIVA,2026-04-02T20:57:50.394867+00:00
6065eaa75519,Abril 2026,2026-04-12,12/04/2026,Xtrail Series Òrrius,https://www.xtrailseriesrun.com/,15,624,15km D+624m,,Òrrius,BARCELONA,ACTIVA,2026-04-02T20:57:50.394888+00:00
f16d9715097e,Abril 2026,2026-04-12,12/04/2026,Xtrail Series Òrrius,https://www.xtrailseriesrun.com/,10,483,10km D+483m,,Òrrius,BARCELONA,ACTIVA,2026-04-02T20:57:50.394908+00:00
caf8dd25feb2,Abril 2026,2026-04-12,12/04/2026,Rebentaesparedenyes,https://rebentaespardenyes.wordpress.com/,21.5,,"21,5km",,La Ràpita,BARCELONA,ACTIVA,2026-04-02T20:57:50.394929+00:00
948f15773e7f,Abril 2026,2026-04-12,12/04/2026,Rebentaesparedenyes,https://rebentaespardenyes.wordpress.com/,10.5,,"10,5km",,La Ràpita,BARCELONA,ACTIVA,2026-04-02T20:57:50.394951+00:00
4aed23a5dd79,Abril 2026,2026-04-12,12/04/2026,Trail Roda de Berà,https://trailrodadebera.webnode.cat/,13.4,269,"13,4km D+269m",,Roda de Berà,TARRAGONA,ACTIVA,2026-04-02T20:57:50.394974+00:00
9fc0f22290c9,Abril 2026,2026-04-12,12/04/2026,Trail Roda de Berà,https://trailrodadebera.webnode.cat/,4.8,33,"4,8km D+33m",,Roda de Berà,TARRAGONA,ACTIVA,2026-04-02T20:57:50.394997+00:00
8055d4273657,Abril 2026,2026-04-12,12/04/2026,Cursa de la Batalla,https://sportmaniacs.com/es/services/inscription/2ordf-cursa-de-la-batalla-dels-prats-de-rei#contact,16,,16km,,Prats de Rei,BARCELONA,ACTIVA,2026-04-02T20:57:50.395017+00:00
a0f8eefaceeb,Abril 2026,2026-04-12,12/04/2026,Cursa de la Batalla,https://sportmaniacs.com/es/services/inscription/2ordf-cursa-de-la-batalla-dels-prats-de-rei#contact,8,,8km,,Prats de Rei,BARCELONA,ACTIVA,2026-04-02T20:57:50.395040+00:00
23afaffb36a1,Abril 2026,2026-04-18,18/04/2026,Oncodines Trail,https://www.oncodinestrail.cat/,100,2653,100km D+2653m,,Sant Feliu de Codines,BARCELONA,ACTIVA,2026-04-02T20:57:50.395060+00:00
8610ac2e453f,Abril 2026,2026-04-18,18/04/2026,Cursa Roca Negra,http://rocanegra.cat/,21,1300,21km D+1300m,,Sant Boi de Llobregat,BARCELONA,ACTIVA,2026-04-02T20:57:50.395081+00:00
fec640fd43f1,Abril 2026,2026-04-18,18/04/2026,Cursa Roca Negra,http://rocanegra.cat/,13,700,13km D+700m,,Sant Boi de Llobregat,BARCELONA,ACTIVA,2026-04-02T20:57:50.395101+00:00
0c5be508cc6e,Abril 2026,2026-04-18,18/04/2026,Pels Camins dels Matxos,https://matxos.cat/,61.8,3450,"61,8km D+3450m",,Torelló,BARCELONA,ACTIVA,2026-04-02T20:57:50.395121+00:00
aa72eba35c6a,Abril 2026,2026-04-18,18/04/2026,UTMCD Ultra Trail Muntanyes Costa Daurada,https://www.naturetime.es/ca/ultra-trail-muntanyes-costa-daurada-3/,64,3000,64km D+3000m,,Prades,TARRAGONA,ACTIVA,2026-04-02T20:57:50.395140+00:00
c275f68bc360,Abril 2026,2026-04-18,18/04/2026,UTMCD Ultra Trail Muntanyes Costa Daurada,https://www.naturetime.es/ca/ultra-trail-muntanyes-costa-daurada-3/,44,1744,44km D+1744m,,Prades,TARRAGONA,ACTIVA,2026-04-02T20:57:50.395161+00:00
c36123e3ab73,Abril 2026,2026-04-18,18/04/2026,UTMCD Ultra Trail Muntanyes Costa Daurada,https://www.naturetime.es/ca/ultra-trail-muntanyes-costa-daurada-3/,23,969,23km D+969m,,Prades,TARRAGONA,ACTIVA,2026-04-02T20:57:50.395182+00:00
adf1ae5b4d5b,Abril 2026,2026-04-18,18/04/2026,UTMCD Ultra Trail Muntanyes Costa Daurada,https://www.naturetime.es/ca/ultra-trail-muntanyes-costa-daurada-3/,11,513,11km D+513m,,Prades,TARRAGONA,ACTIVA,2026-04-02T20:57:50.395204+00:00
ebd46900aa3a,Abril 2026,2026-04-18,18/04/2026,Engatats Trail,https://www.curses.cat/engatatstrail2026/,12,,12km,,Sant Jordi Desvalls,GIRONA,ACTIVA,2026-04-02T20:57:50.395223+00:00
0443bded77dc,Abril 2026,2026-04-19,19/04/2026,Vilatrail,https://www.vilatrail.com/,21,1100,21km D+1100m,,Vilassar de Dalt,BARCELONA,ACTIVA,2026-04-02T20:57:50.395243+00:00
20acb137996f,Abril 2026,2026-04-19,19/04/2026,Vilatrail,https://www.vilatrail.com/,12,675,12km D+675m,,Vilassar de Dalt,BARCELONA,ACTIVA,2026-04-02T20:57:50.395263+00:00
d590b80f78a2,Abril 2026,2026-04-19,19/04/2026,Cursa de les Roques,https://aecaranordblog.wordpress.com/,21.5,1450,"21,5km D+1450m",,Horta de Sant Joan,TARRAGONA,ACTIVA,2026-04-02T20:57:50.395282+00:00
25a29f780280,Abril 2026,2026-04-19,19/04/2026,Cursa de les Roques,https://aecaranordblog.wordpress.com/,16,850,16km D+850m,,Horta de Sant Joan,TARRAGONA,ACTIVA,2026-04-02T20:57:50.395300+00:00
b7abed5bdc84,Abril 2026,2026-04-19,19/04/2026,Cursa de les Roques JUVENIL I CADET,https://aecaranordblog.wordpress.com/,9.3,500,"9,3km D+500m",,Horta de Sant Joan,TARRAGONA,ACTIVA,2026-04-02T20:57:50.395320+00:00
91593953161a,Abril 2026,2026-04-19,19/04/2026,Cursa de la Nòria,https://cursadelanoria.weebly.com/,10,25,10km D+25m,,Torrelameu,LLEIDA,ACTIVA,2026-04-02T20:57:50.395338+00:00
7cf960c1d5d6,Abril 2026,2026-04-19,19/04/2026,Cursa de la Nòria,https://cursadelanoria.weebly.com/,5,25,5km D+25m,,Torrelameu,LLEIDA,ACTIVA,2026-04-02T20:57:50.395362+00:00
7c48b6e49e9b,Abril 2026,2026-04-19,19/04/2026,Selva Trail,https://www.aritjol.org/,22,1200,22km D+1200m,,La Selva del Camp,TARRAGONA,ACTIVA,2026-04-02T20:57:50.395383+00:00
